i,segment,x,y,spacing,kappa_autoware,front_rad,rear_rad,rr_effective,velocity
76,straight2,3,4.5,0.5,0.000467214,0.000934792,-7.79908e-09,-8.34312e-06,1.11111
77,straight2,3,5,0.5,0.000175032,0.0003502,-1.09458e-09,-3.12557e-06,1.11111
78,straight2,3,5.5,0.5,3.74464e-05,7.49219e-05,-5.00992e-11,-6.68686e-07,1.11111
79,straight2,3,6,0.5,0,0,0,0,1.11111
80,straight2,3,6.5,0.5,0,0,0,0,1.11111
81,straight2,3,7,0.5,0,0,0,0,1.11111
82,straight2,3,7.5,0.5,0,0,0,0,1.11111
83,straight2,3,8,0.5,0,0,0,0,1.11111
84,straight2,3,8.5,0.5,0,0,0,0,1.11111
85,straight2,3,9,0.5,0,0,0,0,1.11111
86,straight2,3,9.5,0.5,0,0,0,0,1.11111
87,straight2,3,10,0.5,0,0,0,0,1.11111
88,straight2,3,10.5,0.5,0,0,0,0,1.11111
89,straight2,3,11,0.5,0,0,0,0,1.11111
90,straight2,3,11.5,0.5,0,0,0,0,1.11111
91,straight2,3,12,0.5,0,0,0,0,1.11111
92,straight2,3,12.5,0.5,0,0,0,0,1.11111
93,straight2,3,13,0.5,0,0,0,0,1.11111
94,straight2,3,13.5,0.5,0,0,0,0,1.11111
95,straight2,3,14,0.5,0,0,0,0,1.11111
96,straight2,3,14.5,0.5,0,0,0,0,1.11111
97,straight2,3,15,0.5,0,0,0,0,1.11111
98,straight2,3,15.5,0.5,0,0,0,0,1.11111
99,straight2,3,16,0.5,0,0,0,0,1.11111
