i,segment,x,y,kappa,front_2ws,rear_2ws,vel_2ws,front_4ws,rear_4ws,vel_4ws,d_front,d_vel,vel_ratio
55,arc,2.84519,0.465534,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
56,arc,2.86603,0.5,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
57,arc,2.88546,0.535277,1,1.10715,0,1.41421,0.7,-0.7,1.2368,-0.407149,-0.177409,0.874553
58,arc,2.90345,0.571307,1,1.10715,0,1.36676,0.7,-0.7,1.2368,-0.407149,-0.129956,0.904917
59,arc,2.91998,0.608033,1,1.10715,0,0.499662,0.7,-0.7,1.2368,-0.407149,0.737142,2.47528
60,arc,2.93502,0.645395,0.765538,0.99222,0,0.206402,0.7,-0.7,0.415142,-0.29222,0.20874,2.01133
61,arc,2.94854,0.683332,0.553848,0.836451,0,0.169141,0.609379,-0.578375,0.164825,-0.227072,-0.00431569,0.974485
62,arc,2.96052,0.721783,0.415006,0.692775,0,0.187927,0.526404,-0.362166,0.173038,-0.166371,-0.0148882,0.920776
63,arc,2.97094,0.760684,0.319678,0.568856,0,0.236385,0.447276,-0.225509,0.290179,-0.121579,0.0537938,1.22757
64,arc,2.97979,0.799974,0.250601,0.464609,0,0.312637,0.377894,-0.141328,0.495128,-0.0867149,0.182491,1.58371
65,arc,2.98705,0.839589,0.198296,0.377565,0,0.419367,0.317977,-0.0881473,0.729018,-0.0595874,0.309651,1.73838
66,arc,2.99271,0.879463,0.15729,0.304779,0,0.560034,0.2657,-0.0538356,0.94571,-0.0390798,0.385675,1.68866
67,arc,2.99676,0.919533,0.124246,0.24356,0,0.737746,0.219382,-0.0316127,1.23649,-0.0241776,0.498742,1.67603
68,arc,2.99919,0.959734,0.0970222,0.191663,0,0.671115,0.177791,-0.017461,0.930601,-0.0138714,0.259486,1.38665
69,arc,3,1,0.0741858,0.147297,0,0.614655,0.140103,-0.00881185,0.785763,-0.00719394,0.171108,1.27838
70,straight2,3,1.5,0.0258996,0.051753,0,0.840751,0.0513646,-0.000456993,0.91497,-0.000388335,0.074219,1.08828
71,straight2,3,2,0.0123657,0.0247264,0,1.41421,0.0246831,-5.11776e-05,1.2368,-4.3327e-05,-0.177409,0.874553
72,straight2,3,2.5,0.00654958,0.0130984,0,1.41421,0.0130916,-7.65356e-06,1.2368,-6.75209e-06,-0.177409,0.874553
73,straight2,3,3,0.00358464,0.00716916,0,1.41421,0.00716828,-1.27884e-06,1.2368,-8.77306e-07,-0.177409,0.874553
74,straight2,3,3.5,0.00194406,0.00388809,0,1.41421,0.00388809,-2.22012e-07,1.2368,1.62981e-09,-0.177409,0.874553
75,straight2,3,4,0.00100423,0.00200845,0,1.41421,0.00200923,-3.60307e-08,1.2368,7.82311e-07,-0.177409,0.874553
76,straight2,3,4.5,0.000467214,0.000934429,0,1.41421,0.000934792,-7.79908e-09,1.2368,3.62983e-07,-0.177409,0.874553
77,straight2,3,5,0.000175032,0.000350064,0,1.41421,0.0003502,-1.09458e-09,1.2368,1.35915e-07,-0.177409,0.874553
78,straight2,3,5.5,3.74464e-05,7.48928e-05,0,1.41421,7.49219e-05,-5.00992e-11,1.2368,2.90747e-08,-0.177409,0.874553
79,straight2,3,6,0,0,0,1.41421,0,0,1.2368,0,-0.177409,0.874553
