i,x,y,front_wheel_angle_rad,rear_wheel_angle_rad,longitudinal_velocity_mps,acceleration_mps2
0,-11.836739529221063,22.747161949641,0.054632022976875305,-0.0005493852077051997,2.000709295272827,0.005288637243211269
1,-11.758305902490408,22.68512836036973,0.054632022976875305,-0.0005493852077051997,2.0009899139404297,0.0031612026505172253
2,-11.6795350946614,22.62352349177994,-0.05212049186229706,0.00047868810361251235,2.001215934753418,0.002615448785945773
3,-11.60092655001181,22.561711707239454,-0.19368034601211548,0.022284794598817825,2.0012974739074707,0.007309893146157265
4,-11.522984459050406,22.499061643738095,-0.2688683569431305,0.055633410811424255,2.0014986991882324,0.01801896281540394
5,-11.446235811419093,22.434955130132078,-0.2540973424911499,0.04758632183074951,2.0020203590393066,0.03312317281961441
6,-11.370490202114771,22.369666519555345,-0.22195211052894592,0.032662276178598404,2.003392457962036,0.04622844606637955
7,-11.295378241991836,22.303649904628873,-0.26371732354164124,0.05275711789727211,2.0054047107696533,0.055670373141765594
8,-11.221305372245585,22.2364694761811,-0.33705469965934753,0.10341845452785492,2.008024215698242,0.057915348559617996
9,-11.148690922668111,22.16771526387711,-0.4225524961948395,0.1923971176147461,2.0109338760375977,0.05095892399549484
10,-11.077969054004765,22.097015778034812,-0.5125174522399902,0.3342764973640442,2.013770818710327,0.02120635285973549
11,-11.010255251639096,22.02343017487088,-0.5480482578277588,0.4099246859550476,2.0158889293670654,-0.013159344904124737
12,-10.94616070407288,21.946671533965368,-0.5185694694519043,0.3461763858795166,2.015672445297241,-0.029720354825258255
13,-10.885233598836729,21.867375330811353,-0.45199987292289734,0.23236261308193207,2.014309883117676,-0.0357552245259285
14,-10.82691848196219,21.7861389649175,-0.3807918429374695,0.14438533782958984,2.0125651359558105,-0.037190090864896774
15,-10.770598772685318,21.703506705184964,-0.3377271592617035,0.10396454483270645,2.010709762573242,-0.035987645387649536
16,-10.715951334577218,21.61975912307678,-0.3328579366207123,0.0998849868774414,2.0088562965393066,-0.03192543238401413
17,-10.663100254919799,21.534866465096496,-0.3375891447067261,0.10381193459033966,2.0071780681610107,-0.02695157565176487
18,-10.612089696895456,21.44885528576794,-0.337557852268219,0.10378516465425491,2.0056838989257812,-0.02210930548608303
19,-10.562942804991176,21.361765774252902,-0.33838051557540894,0.10447752475738525,2.004450798034668,-0.01785334199666977
20,-10.515662355781705,21.27364903847782,-0.3489084839820862,0.11360355466604233,2.0034570693969727,-0.014188159257173538
21,-10.47033389154793,21.184512456016574,-0.36948537826538086,0.13289010524749756,2.0026702880859375,-0.011145880445837975
22,-10.427196953864643,21.09429491554018,-0.38991448283195496,0.1540296971797943,2.0020456314086914,-0.00866187084466219
23,-10.386444260435322,21.002975596776665,-0.4057064354419708,0.1718309372663498,2.0015721321105957,-0.006732286419719458
24,-10.348245359704999,20.9105589100488,-0.42219874262809753,0.19189241528511047,2.001192331314087,-0.005159861873835325
25,-10.312739076540558,20.817074666095902,-0.44323086738586426,0.21983478963375092,2.0009045600891113,-0.003947688732296228
26,-10.280206082843236,20.722514609327547,-0.458245187997818,0.24151727557182312,2.000685691833496,-0.003013131907209754
27,-10.250898666136735,20.62690563838483,-0.45813554525375366,0.24133837223052979,2.0005173683166504,-0.0021458452101796865
28,-10.224788537374764,20.530374497466223,-0.4485655725002289,0.22735174000263214,2.000392436981201,-0.0007806856301613152
29,-10.201797531342693,20.433053309492742,-0.42562979459762573,0.19628414511680603,2.0003135204315186,0.0005969346966594458
30,-10.181818950152724,20.335069350170237,-0.3845910131931305,0.1483955979347229,2.000328302383423,0.0004061977961100638
31,-10.164306143157143,20.236614784046125,-0.3622969388961792,0.12594708800315857,2.0003509521484375,-0.00018663087394088507
32,-10.148938046859739,20.13780273202646,-0.3860243260860443,0.14986880123615265,2.0003502368927,-0.0006243823445402086
33,-10.13611788533408,20.038627919289766,-0.42719370126724243,0.19839832186698914,2.00032114982605,-0.0007897722534835339
34,-10.126261752513605,19.939114821417537,-0.442166805267334,0.21835105121135712,2.0002806186676025,-0.0008124922169372439
35,-10.119792834814021,19.83932427539171,-0.3936876654624939,0.15831702947616577,2.0002377033233643,-0.0007698215777054429
36,-10.116143372967676,19.73939089043973,-0.3110552132129669,0.08335936069488525,2.000197410583496,-0.0006871590157970786
37,-10.114110403064243,19.639411557395153,-0.27663737535476685,0.06021670624613762,2.0001637935638428,-0.0005900147370994091
38,-10.11371735099705,19.539412329815583,-0.28210726380348206,0.06349727511405945,2.0001347064971924,-0.0004961152444593608
39,-10.115017550896333,19.439420782818928,-0.27215781807899475,0.05752641707658768,2.0001096725463867,-0.0004207566089462489
40,-10.118074778646761,19.339467526945793,-0.2279079556465149,0.0352545790374279,2.000087261199951,-0.0009207802941091359
41,-10.122427376403234,19.239562297378715,-0.19341379404067993,0.022219231352210045,2.0000522136688232,-0.0027207208331674337
42,-10.12764553400947,19.139698536030256,-0.21941836178302765,0.03165591508150101,1.9999253749847412,-0.0038041304796934128
43,-10.134094232008305,19.039906681194246,-0.2717401087284088,0.05739590525627136,1.9997402429580688,-0.002362508326768875
44,-10.14175096791097,18.944737506625728,-0.30421245098114014,0.07823655754327774,1.9995485544204712,-0.0003266488783992827
45,-10.156183679290208,18.807051675127337,-0.2809668779373169,0.06474138796329498,1.9995256662368774,0.009358110837638378
46,-10.173892193745193,18.669748866611343,-0.25772130489349365,0.051246222108602524,1.9995028972625732,0.01904287189245224
47,-10.194084718664566,18.532701180310678,-0.23505520820617676,0.03850004822015762,1.999696969985962,0.034332361072301865
48,-10.216632741901758,18.396079648937206,-0.21697834134101868,0.03168550133705139,2.00160813331604,0.09400840103626251
49,-10.24166253720457,18.259947441929707,-0.1989014595746994,0.02487095631659031,2.0035195350646973,0.15368443727493286
50,-10.26901172869558,18.124172057100967,-0.18410661816596985,0.019381532445549965,2.0080630779266357,0.21529795229434967
51,-10.298081123290805,17.988791938816625,-0.1806982308626175,0.018489381298422813,2.0217390060424805,0.28363317251205444
52,-10.329200459911744,17.853916335243685,-0.17728984355926514,0.017597230151295662,2.035414934158325,0.351968377828598
53,-10.362968709771888,17.719609467040105,-0.16870296001434326,0.015706520527601242,2.053366184234619,0.4031594693660736
54,-10.398433288823462,17.585774524271642,-0.14986318349838257,0.011838759295642376,2.0797817707061768,0.42040684819221497
