t,x,y,yaw,vx,vy,wz
0.0,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.025075912475585938,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.0500340461730957,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.0750722885131836,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.09996390342712402,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.12505722045898438,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.15009236335754395,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.17507314682006836,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.19992613792419434,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.22504830360412598,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.2500801086425781,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.2750544548034668,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.3000760078430176,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.3250763416290283,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.3500397205352783,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.37508702278137207,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.39998960494995117,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.4250671863555908,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.4500739574432373,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.47505807876586914,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.49999022483825684,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.5249545574188232,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.5500917434692383,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.5750823020935059,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.5999641418457031,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.6251001358032227,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.6500284671783447,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.6749966144561768,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.7002177238464355,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.7251386642456055,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.7500813007354736,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.7751221656799316,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.8003330230712891,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.8250732421875,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.8501169681549072,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.8796887397766113,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.9000754356384277,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.925123929977417,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.9503743648529053,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
0.9750611782073975,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.0000286102294922,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.0250952243804932,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.050058126449585,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.0750763416290283,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.1000604629516602,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.1253175735473633,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.1515967845916748,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.1751453876495361,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.2000365257263184,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.2251067161560059,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.250105619430542,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.2750778198242188,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.3083386421203613,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.3252713680267334,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.350097894668579,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.3750505447387695,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.4000003337860107,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.4251058101654053,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.4500718116760254,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.4751317501068115,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.500002384185791,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.5250608921051025,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.550050973892212,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.575042963027954,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.5999510288238525,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.6249973773956299,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.6500630378723145,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.6778349876403809,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.700357437133789,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.7324025630950928,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.749995470046997,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.7750389575958252,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.7999656200408936,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.8251113891601562,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.8500745296478271,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.877382755279541,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.8999643325805664,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.9250233173370361,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.950049638748169,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
1.975113868713379,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.000042200088501,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.025090456008911,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.0501232147216797,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.075143814086914,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.100015640258789,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.125084161758423,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.150038003921509,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.1750295162200928,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
2.1999428272247314,-24.6483211517334,20.663848876953125,1.080838861457111,0.0,0.0,0.0
