t,angle
0.051390886306762695,-0.3000660836696625
0.07622170448303223,-0.3000660836696625
0.10079312324523926,-0.3000660836696625
0.12835121154785156,-0.3000660836696625
0.1511995792388916,-0.3000660836696625
0.17593979835510254,-0.3000660836696625
0.20193243026733398,-0.3000660836696625
0.22722434997558594,-0.3000660836696625
0.2529120445251465,-0.3000660836696625
0.2772188186645508,-0.3000660836696625
0.30231475830078125,-0.3000660836696625
0.32671141624450684,-0.3000660836696625
0.35162353515625,-0.3000660836696625
0.3769400119781494,-0.3000660836696625
0.4015350341796875,-0.3000660836696625
0.42710113525390625,-0.3000660836696625
0.4522438049316406,-0.3000660836696625
0.4763648509979248,-0.3000660836696625
0.5017697811126709,-0.3000660836696625
0.5274252891540527,-0.3000660836696625
0.5547115802764893,-0.3000660836696625
0.5814619064331055,-0.3000660836696625
0.6066238880157471,-0.3000660836696625
0.626657247543335,-0.3000660836696625
0.6524643898010254,-0.3000660836696625
0.6768724918365479,-0.3000660836696625
0.7033736705780029,-0.3000660836696625
0.7270858287811279,-0.3000660836696625
0.7518978118896484,-0.3000660836696625
0.7760610580444336,-0.3000660836696625
0.801455020904541,-0.3000660836696625
0.8267593383789062,-0.3000660836696625
0.8520298004150391,-0.3000660836696625
0.8762106895446777,-0.3000660836696625
0.9011130332946777,-0.3000660836696625
0.9262161254882812,-0.3000660836696625
0.9508082866668701,-0.3000660836696625
0.9762189388275146,-0.3000660836696625
1.0011944770812988,-0.3000660836696625
1.0264840126037598,-0.3000660836696625
1.0512995719909668,-0.3000660836696625
1.076436996459961,-0.3000660836696625
1.1015174388885498,-0.3000660836696625
1.1263680458068848,-0.3000660836696625
1.1523189544677734,-0.3000660836696625
1.1762523651123047,-0.3000660836696625
1.201265811920166,-0.3000660836696625
1.2269270420074463,-0.3000660836696625
1.251429796218872,-0.3000660836696625
1.2763946056365967,-0.3000660836696625
1.301006555557251,-0.3000660836696625
1.3262381553649902,-0.3000660836696625
1.3517353534698486,-0.3000660836696625
1.3766238689422607,-0.3000660836696625
1.4013254642486572,-0.3000660836696625
1.4268219470977783,-0.3000660836696625
1.4512438774108887,-0.3000660836696625
1.4813683032989502,-0.3000660836696625
