t,angle
-0.024082422256469727,0.0
0.0010728836059570312,0.0
0.026157855987548828,0.0
0.0512843132019043,0.0
0.07600641250610352,0.0
0.10095739364624023,0.0
0.12626123428344727,0.0
0.15136122703552246,0.0
0.17634344100952148,0.0
0.20088720321655273,0.0
0.22724294662475586,0.0
0.2539787292480469,0.0
0.276561975479126,0.0
0.30382204055786133,0.0
0.32740092277526855,0.0
0.35264062881469727,0.0
0.3773069381713867,0.0
0.40209484100341797,0.0
0.42706966400146484,0.0
0.45334458351135254,0.0
0.4761226177215576,0.0
0.5012996196746826,0.0
0.5272574424743652,0.0
0.5531823635101318,0.0
0.5784363746643066,0.0
0.6018116474151611,0.0
0.6265313625335693,0.0
0.6530179977416992,0.0
0.6782615184783936,0.0
0.7056834697723389,0.0
0.7287592887878418,0.0
0.7519998550415039,0.0
0.7767448425292969,0.0
0.8021421432495117,0.0
0.8268094062805176,0.0
0.8521490097045898,0.0
0.8809540271759033,0.0
0.9018676280975342,0.0
0.9278230667114258,0.0
0.9523434638977051,0.0
0.9765002727508545,0.0
1.0016694068908691,0.0
1.026620626449585,0.0
1.0514779090881348,0.0
1.0763108730316162,0.0
1.102051019668579,0.0
1.1284058094024658,0.0
1.154714584350586,0.0
1.1794593334197998,0.0
1.2040777206420898,0.0
1.2271804809570312,0.0
1.2536754608154297,0.0
1.2786083221435547,0.0
1.3127038478851318,0.0
1.3294892311096191,0.0
1.3540370464324951,0.0
1.3787024021148682,0.0
1.4013011455535889,0.0
1.4276564121246338,0.0
1.453249454498291,0.0
1.4766831398010254,0.0
1.5014674663543701,0.0
1.5270860195159912,0.0
1.5527329444885254,0.0
1.576404333114624,0.0
1.6024291515350342,0.0
1.6264557838439941,0.0
1.6516225337982178,0.0
1.6822717189788818,0.0
1.7038710117340088,0.0
1.734703779220581,0.0
1.7512080669403076,0.0
1.7763636112213135,0.0
1.8013086318969727,0.0
1.826690673828125,0.0
1.8522908687591553,0.0
1.8796582221984863,0.0
1.9007432460784912,0.0
1.9263439178466797,0.0
1.951512336730957,0.0
1.9773797988891602,0.0
2.0030648708343506,0.0
2.026862621307373,0.0
2.053196907043457,0.0
2.078326940536499,0.0
2.103753089904785,0.0
2.128120183944702,0.0
2.1526410579681396,0.0
2.175830125808716,0.0
2.201099395751953,0.0
2.22636342048645,0.0
2.2514255046844482,0.0
2.2760071754455566,0.0
2.3009941577911377,0.0
2.3263635635375977,0.0
2.3514561653137207,0.0
2.3762409687042236,0.0
2.4017386436462402,0.0
2.426180839538574,0.0
2.4510152339935303,0.0
2.476189613342285,0.0
2.5013370513916016,0.0
2.526257038116455,0.0
2.5512237548828125,0.0
2.57680344581604,0.0
2.6017682552337646,0.0
2.6279685497283936,0.0
2.6520252227783203,0.0
2.676729202270508,0.0
2.7013611793518066,0.0
2.730229139328003,0.0
2.7514843940734863,0.0
2.776183843612671,0.0
2.801523208618164,0.0
2.826726198196411,0.0
2.8519134521484375,0.0
2.8766398429870605,0.0
2.9016664028167725,0.0
2.926229476928711,0.0
2.9525625705718994,0.0
2.9768950939178467,0.0
3.0014991760253906,0.0
3.026695966720581,0.0
3.0514347553253174,0.0
3.0764665603637695,0.0
3.101630449295044,0.0
3.126413106918335,0.0
3.1516287326812744,0.0
3.1762218475341797,0.0
3.201669931411743,0.0
3.2275421619415283,0.0
3.2529373168945312,0.0
3.2791824340820312,0.0
3.304131031036377,0.0
3.3289430141448975,0.0
3.3540122509002686,0.0
3.377479076385498,0.0
3.4018962383270264,0.0
3.426732301712036,0.0
3.4512319564819336,0.0
3.4787962436676025,0.0
3.50443959236145,0.0
3.5274970531463623,0.0
3.5609548091888428,0.0
3.5799481868743896,0.0
3.603430986404419,0.0
3.6275599002838135,0.0
3.653796911239624,0.0
3.67706298828125,0.0
3.7019119262695312,0.0
3.726259708404541,0.0
3.7522425651550293,0.0
3.778724431991577,0.0
3.8016064167022705,0.0
3.8270463943481445,0.0
3.851454257965088,0.0
3.876324415206909,0.0
3.9017584323883057,0.0
